ECOICOP,NAZEV,MĚRNÁ JEDNOTKA,,VÁHA v ‰
E00,ÚHRN, , ,1000.000000
E01,POTRAVINY A NEALKOHOLICKÉ NÁPOJE, , ,177.431636
E01.1,Potraviny, , ,160.863507
E01.11,Pekárenské výrobky; obiloviny, , ,28.362751
E01.111,RÝŽE, , ,0.743489
E01.112,MOUKA A JINÉ OBILOVINY, , ,0.955740
E01.113,CHLÉB , , ,12.613507
E01.114,OSTATNÍ PEKÁRENSKÉ VÝROBKY, , ,8.142474
E01.115,PIZZA, , ,1.393856
E01.116,TĚSTOVINY A KUSKUS, , ,1.295392
E01.117,SNÍDAŇOVÉ CEREÁLIE, , ,1.334639
E01.118,JINÉ VÝROBKY Z OBILOVIN, , ,1.883654
E01.12,Maso, , ,40.593387
E01.121,HOVĚZÍ A TELECÍ MASO, , ,3.020902
E01.122,VEPŘOVÉ MASO, , ,8.464718
E01.124,DRŮBEŽ, , ,9.403732
E01.125,JINÉ MASO, , ,0.245911
E01.126,JEDLÉ DROBY, , ,0.424815
E01.127,"SUŠENÉ, SOLENÉ NEBO UZENÉ MASO", , ,14.839660
E01.128,OSTATNÍ MASNÉ POLOTOVARY, , ,4.193649
E01.13,Ryby a mořské plody, , ,4.218514
E01.131,"RYBY, ČERSTVÉ NEBO CHLAZENÉ", , ,1.101285
E01.132,"RYBY, ZMRAZENÉ", , ,0.625397
E01.135,"SUŠENÉ, SOLENÉ NEBO UZENÉ RYBY A MOŘSKÉ PLODY", , ,0.450879
E01.136,OSTATNÍ KONZERVOVANÉ NEBO ZPRAC. PŘÍPRAVKY Z RYB A MOŘSKÝCH PLODŮ, , ,2.040953
E01.14,"Mléko, sýry a vejce", , ,29.512353
E01.141,MLÉKO PLNOTUČNÉ, , ,1.436315
E01.142,MLÉKO NÍZKOTUČNÉ, , ,4.036128
E01.143,SUŠENÉ MLÉKO, , ,0.369796
E01.144,JOGURTY, , ,3.402819
E01.145,SÝRY A TVAROHY, , ,12.788879
E01.146,OSTATNÍ MLÉČNÉ VÝROBKY, , ,4.714735
E01.147,VEJCE, , ,2.763681
E01.15,Oleje a tuky, , ,6.207854
E01.151,MÁSLO, , ,2.752664
E01.152,MARGARÍN A OSTATNÍ ROSTLINNÉ TUKY, , ,1.450533
E01.153,OLIVOVÝ OLEJ, , ,0.444069
E01.154,OSTATNÍ JEDLÉ OLEJE, , ,1.263019
E01.155,OSTATNÍ JEDLÉ ŽIVOČIŠNÉ TUKY, , ,0.297569
E01.16,Ovoce, , ,12.966714
E01.161,"OVOCE, ČERSTVÉ NEBO CHLAZENÉ", , ,10.391434
E01.163,SUŠENÉ OVOCE A OŘECHY, , ,2.030881
E01.164,KONZERVOVANÉ OVOCE A VÝROBKY Z OVOCE, , ,0.544399
E01.17,Zelenina, , ,16.263751
E01.171,"ZELENINA KROMĚ BRAMBOR A OSTATNÍCH HLÍZ, ČERSTVÁ NEBO CHLAZENÁ", , ,9.082700
E01.172,"ZELENINA KROMĚ BRAMBOR A OSTATNÍCH HLÍZ, ZMRAZENÁ", , ,0.411350
E01.173,"SUŠENÁ ZELENINA, OSTATNÍ KONZERVOVANÁ NEBO ZPRACOVANÁ ZELENINA", , ,2.562713
E01.174,BRAMBORY, , ,2.417391
E01.175,BRAMBOROVÉ LUPÍNKY, , ,1.485826
E01.176,OSTATNÍ HLÍZY A VÝROBKY Z HLÍZ, , ,0.303771
E01.18,"Cukr, marmeláda, med, čokoláda a cukrovinky", , ,13.908280
E01.181,CUKR, , ,1.393824
E01.182,"DŽEMY, MARMELÁDY A MED", , ,0.916549
E01.183,ČOKOLÁDA, , ,2.717378
E01.184,CUKROVINKY, , ,6.472875
E01.185,ZMRZLINÁŘSKÉ VÝROBKY A ZMRZLINA, , ,2.407654
E01.19,Potravinářské výrobky jinde neuvedené, , ,8.829903
E01.191,"OMÁČKY, OCHUCOVADLA", , ,2.394371
E01.192,"SŮL, KOŘENÍ A BYLINY UŽÍVANÉ V KUCHYNI", , ,1.510027
E01.193,DĚTSKÉ VÝŽIVY, , ,1.123672
E01.194,HOTOVÁ JÍDLA, , ,2.137496
E01.199,OSTATNÍ POTRAVINÁŘSKÉ VÝROBKY j.n., , ,1.664337
E01.2,Nealkoholické nápoje, , ,16.568129
E01.21,"Káva, čaj a kakao", , ,5.910130
E01.211,KÁVA, , ,4.009863
E01.212,ČAJ, , ,1.597243
E01.213,KAKAO A ČOKOLÁDA V PRÁŠKU, , ,0.303024
E01.22,"Minerální vody, nealkoholické nápoje, ovocné a zeleninové šťávy", , ,10.657999
E01.221,MINERÁLNÍ NEBO PRAMENITÉ VODY, , ,5.008801
E01.222,NEALKOHOLICKÉ NÁPOJE j.n., , ,3.076026
E01.223,OVOCNÉ A ZELENINOVÉ ŠŤÁVY, , ,2.573172
E02,"ALKOHOLICKÉ NÁPOJE, TABÁK", , ,84.622084
E02.1,Alkoholické nápoje, , ,38.676896
E02.11,Lihoviny, , ,13.474328
E02.111,DESTILÁTY A LIKÉRY, , ,13.474328
E02.12,Vína, , ,11.609869
E02.121,VÍNO Z VINNÝCH HROZNŮ, , ,11.162832
E02.123,FORTIFIKOVANÉ (OBOHACENÉ) VÍNO, , ,0.447037
E02.13,Piva, , ,13.592699
E02.131,LEŽÁKY, , ,8.042185
E02.132,OSTATNÍ ALKOHOLICKÁ PIVA, , ,5.550514
